user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
QuinxResearcher,0,1,1
RANDY ALEX,0,1,1
RANDYBANKSSD,0,8,8
RAiHAN_MR16,0,1,1
RENEW YOUR FAITH,0,1,1
RICHeFLIX,0,1,1
ROSS,0,1,1
RVMmovement,0,1,1
RadenJawa22,0,1,1
Randomness51342,0,1,1
RandyFirst001,0,3,3
RandyOrton6h7,0,1,1
Randymarc0te,0,4,4
RapVault_,0,1,1
RaphKrypt,0,1,1
Ray_Brian4,0,1,1
ReZone162,0,1,1
Reaganfoster18,0,1,1
RealBatmane,0,1,1
RealJamesHing,0,1,1
RealtorStarShar,0,1,1
Rei,0,1,1
RektBigHustla,0,1,1
RektOverseer,2,2,4
Renata_Vine,0,2,2
Resist MEME,0,1,1
Rev_25,0,1,1
Richarlison_c,1,2,3
RicherVito,0,1,1
Richie Bravo,0,1,1
Rid how,0,1,1
Ridhow21,1,2,3
Robert Khushi,0,1,1
Rocket Leader,0,1,1
Rodney,0,1,1
RolfecryptoSig,0,3,3
RothschilDotSol,0,2,2
Royshark.eth,0,1,1
RussCIA_111,0,1,1
Russell71547413,0,1,1
Rutvik4c,0,1,1
Ryan Martin,0,1,1
SAG3.ai,0,1,1
SAGARPACIFIC,0,1,1
SKYWatcher,0,3,3
SMBlockchainBRO,0,1,1
SMike10,1,7,8
SOPHIA_D0NNA,0,1,1
SRTMETAX,0,1,1
STEVE BENSON,0,2,2
SUHAYB_BTC,0,2,2
Saad_Jamil_B,0,1,1
Sabra Margalin,0,1,1
Sajib Hasan Jihad,1,1,2
Salvia Ortega,0,1,1
Samantha,0,1,1
Sanctus_crypto,0,1,1
Sandra B. McKeown,0,2,2
Sandral_le,0,1,1
Sar746980041,0,1,1
Sara Nguyen,0,1,1
SarkarShuvo5,0,1,1
SatoshiStormX,0,1,1
Savkar08,0,1,1
Schmunzel,0,1,1
ScriptUrSuccess,0,1,1
Sendria Kavin,0,1,1
SeoinZen,0,1,1
Serah Joel,0,1,1
Shaban,0,1,1
Shadow36Rugs,0,1,1
Shahzad Naseer,0,1,1
Sham_Gawd_,0,1,1
Shib_Army90,0,1,1
Shieldmetax,0,1,1
Shigeo808,0,1,1
Shogun Saski,0,1,1
ShopRnc,0,1,1
ShyMuslimGirl,0,1,1
SimonS559,0,1,1
Simonwarick438,0,1,1
SirCaseyOfDelco,0,1,1
Skoufoxy_,0,1,1
Skynet_insights,0,1,1
SmCrypto_bro,0,1,1
SmallCapBob2,0,1,1
Smithjeffersson,0,1,1
Smokeed_sauce,0,1,1
Sneakers1012,0,1,1
So-called Dave,0,1,1
Solana Phoenix,0,2,2
Solana Whale Alerts,0,1,1
Solarhash_UNVRS,0,1,1
SolidCryptoX,0,1,1
Sophia Davis,0,1,1
Souleyman Tapsoba,0,1,1
SpeederT63207,0,1,1
SpiderCrypto0x,0,1,1
SportsOnPLS,0,1,1
SpotCoinTrading,0,3,3
Sr Peters,0,1,1
Stacy901091,0,1,1
Staite,0,1,1
Star_Galie,0,1,1
Startup_Savvy 📊,0,1,1
SteveT1997,0,1,1
Steven Gilland,0,1,1
StocksTwon14605,0,1,1
StrausserChris,0,1,1
StubbBrian,0,1,1
Super_Degen1,0,1,1
Surfingtrumpcoin - SOLANA $STC,0,1,1
Susie Bradford🪷,0,1,1
SwampFox,0,1,1
SwansonTrading,0,1,1
SwissGenevaBit,0,5,5
Synapse,0,1,1
T0mmyDeFi,0,1,1
T@@$h!,0,7,7
TBucksSolana,0,1,1
TGproCrypto,0,1,1
THADDEUSKAL,0,1,1
THEFAXSPITTA,0,1,1
THEQUEENSANJUAN,0,3,3
THERANDO__GUY,0,1,1
THP,0,1,1
THΞGABO🍌,1,6,7
TOTORO,0,1,1
TRADER ALEX ⭐️,0,1,1
TRMP Universe 🇺🇲 🦅,0,1,1
TRUMP COIN,0,1,1
TRUMP COIN ✴️,0,2,2
TSalvestroni,0,1,1
Take Profit Trader!,0,1,1
Taofeek2_QBX,0,2,2
TapCat_,0,1,1
Taylor,0,1,1
Taylorj0402,1,19,20
TechLeviathan,0,1,1
TejasPanchall,0,1,1
TerriMccarter4,2,2,4
TerryDavis,0,1,1
TgProze,0,2,2
The Crypto Fool,0,1,1
The King MeMidas,0,2,2
The SIGMA Trader,0,1,1
The Tradesman,0,9,9
TheBoyDen1,0,1,1
TheCoinFlippers,0,1,1
TheCryptoCab,0,1,1
TheIdentifies,1,1,2
TheKingMeMidas,0,6,6
TheKittleTeam,0,1,1
Theo,0,1,1
Thereal_Kolimba,0,1,1
Thibi,3,20,23
This is tom ☣️ (The dog of wall street),0,1,1
ThomasTheCryptoEngine,0,3,3
TimmyFiveTimes,0,1,1
ToTheMoon0008 ✨,0,1,1
Toell Nemesis,0,1,1
Tom Thomas,0,1,1
Tonmoy Panja,0,2,2
TopStockTips1,0,1,1
Top_promotion07,0,4,4
TradGPRO,1,4,5
TradeAnalyst963,0,1,1
TradeExpert485,0,1,1
Trader palash,0,1,1
Trader6T,0,1,1
Trades75699329,0,1,1
Trading GPro,36,39,75
TradingGpro,1,4,5
TradingMate,0,1,1
TrashPandaTv,0,1,1
TrenchXBT,0,1,1
TrendIsYourFrnd,1,2,3
TrillionarieMan,0,1,1
TrippIvey,0,2,2
Trump Chef,0,1,1
Trump Coin,0,2,2
Trump Support,0,1,1
Trump is retarded 2025,0,2,2
TrumpSucksCoin,0,7,7
Trumpchain,0,1,1
Trumpcoin,0,1,1
Trumpcoin___sol,0,1,1
TrumpyChocs,0,1,1
Tuba Ximun,0,3,3
Tuberoot,0,1,1
Tundra Cotton,0,1,1
TwilightCougar1,0,1,1
TylerSCrypto,0,1,1
Tyson J. Bernard,0,1,1
Tyson__Ben,0,1,1
Türk Oğlan 🇦🇿🇹🇷,0,2,2
UAP Czar Official Trump (Parody),0,8,8
UncoloredCrypto,0,1,1
UniqueBeing404,0,1,1
UniqueSmau,0,1,1
VICTORCRYPRT,0,1,1
Vanna Chenda,0,2,2
VdeGunzburg,0,1,1
VectRast Crypto,0,2,2
Veekaysssss,0,1,1
VerseUltra,0,1,1
VerticalDegen,0,1,1
VipRoseTr,0,1,1
Vivi DB,0,1,1
VladTheImpaIe,0,1,1
WALTER 🕸️ ™,0,1,1
WLife989889929,0,1,1
WRF240B,0,1,1
WaffenAutism,0,1,1
Walletxofficial,0,2,2
WarishK18714791,0,1,1
WeRCelestial,0,3,3
Web3Bugsie,0,1,1
Weiping92081911,0,1,1
Whale Radar,2,3,5
Whale Signals 🐳,27,38,65
Whale Watch Perps,0,2,2
Whale Watch by Moby,0,5,5
WhaleSpotting1,0,1,1
WhaleXBT,4,16,20
WhatupmyDog_BTC,0,1,1
WhispererWhale,0,1,1
WhiteRob713,0,1,1
William17171717,0,1,1
Williams96537,0,4,4
Winfree Steele,0,1,1
WisPoliticsGal,1,2,3
Woofmetax,0,1,1
WordsmithCrypto,0,1,1
Wreckmoney,0,1,1
XDeg3n,0,1,1
XRP Maxi,0,1,1
XTradesNexus,0,2,2
XYOPepe,0,3,3
YBmetaX,1,1,2
YazanXBT,0,1,1
YouLeYou1,0,1,1
Young Sauce Bucket,0,1,1
Yousstone766,0,1,1
Yukonjack351,0,1,1
ZUPRMARIO,0,1,1
Zach1740,0,1,1
Zee___Zee,0,1,1
ZeroBlocks_sol,0,1,1
Zhade,0,2,2
Zig🐐,0,1,1
Zofu Finance,0,2,2
ZoneCrypto,0,14,14
Zubedo,0,1,1
_BearGod,0,1,1
_CryptoPool_,0,1,1
_DEGECOIN,0,1,1
_Dayotafiq,0,1,1
_King39,0,1,1
_ZoneCrypto_,0,16,16
_georgebetz,0,1,1
_imagyn,0,1,1
_quantummint,0,1,1
aale_xander,0,3,3
adonisvill80290,0,1,1
adramelech1819,0,1,1
agentic_t,0,1,1
aggrmeme,0,1,1
agrahaparama,0,1,1
ai_PHILO,0,1,1
aikek_agent,0,1,1
aixbt,0,1,1
aixtn,0,3,3
akshayynft,0,1,1
akunix,0,1,1
alexisapearson,0,1,1
alhossin9097,0,1,1
allblackgat,0,1,1
aly369mo33n,0,1,1
amechi1635,0,1,1
amnandhakumar,0,1,1
andrew_robrt,1,4,5
andrino53447,1,2,3
andyrox88_2nd,0,1,1
annemarie_538,0,1,1
anonMiyagi,0,1,1
anthonymogilin,0,1,1
arya_rishab9598,0,1,1
asb prez,0,1,1
aswintresna1,0,1,1
ausgod_eth,0,1,1
auwal_husna,0,1,1
bankrbot,0,1,1
batra_animesh,0,4,4
beardedkage,0,1,1
beenstoned,1,1,2
berniem83236992,0,2,2
bethel_jarian,0,1,1
bilalhattar7716,0,1,1
bilalnst,0,1,1
biswas_s33,0,2,2
bitch ass nigga groyper,0,1,1
blacksheep06259,0,1,1
blockchainbob,0,1,1
bmsquamtum,1,6,7
bob_jahdiel,0,2,2
bohmapixels,0,1,1
boilerxyz,0,1,1
brandonbernicky,0,1,1
brsasygn,0,1,1
bullishretro,0,1,1
bungers_uk,0,1,1
buyafterme,0,1,1
cantdropp,0,1,1
caoquocdat84,0,1,1
cashgettoit,0,1,1
cexscan,0,3,3
chainbased_io,0,1,1
christian_5uu,0,1,1
cleveretoo,0,1,1
cmcal_bot,0,1,1
coberate,0,2,2
cognitivedissonanceeverywhere,0,1,1
conkofiy,0,1,1
copy_algo,0,1,1
craftbeerguy75,0,2,2
crptAtlas,0,1,1
cruyptoworld,0,1,1
crypto,0,4,4
crypto &NFT,0,4,4
crypto marketing,1,8,9
cryptoNewsUP25,0,1,1
crypto_brands,0,1,1
crypto_group929,0,1,1
crypto_n_more,0,1,1
crypto_nuclear,0,9,9
crypto_scams_,0,1,1
cryptoalertpro,0,1,1
cryptoalexreal,0,1,1
cryptoalphagg,0,1,1
cryptofoiler808,0,1,1
cryptofy01,0,1,1
cryptoh0lder,0,1,1
cryptois - SMI 🇲🇨,0,1,1
cryptojourney24,0,1,1
cryptojourneyrs,0,3,3
cryptokingpin22,0,1,1
cryptoline21,0,3,3
cryptos_kat,0,1,1
cryptosage26 (SAGE MODE),0,1,1
cryptovibes7011,0,16,16
cryptowalker07,0,2,2
cryptox_com,0,1,1
csai_agent,0,3,3
cypruscoinonsol,0,1,1
cytrohere,1,1,2
d3genchij,0,1,1
dailytalktrends,0,1,1
danbtc10,0,2,2
dannncrypto,0,1,1
darkvarderbz,0,1,1
darkweb068,0,2,2
david_evisonn,0,1,1
deadeyemetax,0,1,1
defigentai,0,1,1
denzelcanvas,0,1,1
derDurstige,0,1,1
devmetax,0,1,1
diffadave,0,1,1
digital_dan20,0,1,1
digitalatif,0,1,1
dipsybitsy,0,1,1
dividenddotcom,0,1,1
djthugshaker,0,1,1
dominic_ckk,1,2,3
draxmus,0,1,1
dreamworks2050,0,1,1
dromplabs,0,1,1
drphil11,0,2,2
dustfarmer_eth,0,2,2
edwardmartin88,0,1,1
elzie_garrett,0,1,1
encryptediphone,0,1,1
ensicrypto,0,1,1
eric81cav,0,1,1
eumarcoslacerda,0,1,1
exiledjimmy,0,1,1
fcktrumpcoin,0,3,3
filipeAdalbert,0,4,4
finedaddysoll,0,1,1
flatizyou,0,1,1
fokuskriptoo,0,1,1
frank_geor70788,1,13,14
future_AlexQ,0,2,2
futurebest234,0,1,1
fxjose054,0,1,1
gemmtten,0,1,1
gemxbt_agent,1,2,3
ggb2kk,0,1,1
ghibli20251,0,1,1
gkeateoya,0,1,1
glitch3sNFT,0,2,2
globallens360,0,1,1
golddarkmaga,0,2,2
goodnes58080041,0,1,1
gtgayoso,0,1,1
guapie13,0,2,2
halfmantuano,0,1,1
hansul .NYAN🔫😼,0,1,1
hedgeciti,0,1,1
helena_telesca,0,1,1
helloimthatdude,1,1,2
hellonearth247,0,2,2
henokcrypto,0,1,1
herculesrocksol,0,1,1
hunterofthehunter,0,1,1
iAmFAMZo,0,1,1
igcryptocave,0,2,2
im_sauvlat,0,1,1
india_shibinu,0,1,1
irish2020_,0,3,3
itismeFlex,0,1,1
itsArnz,0,1,1
itsPodle,0,1,1
itzgentuu_,0,5,5
iverbased,0,1,1
iwantlamboape,0,1,1
jamjen1011,0,1,1
jdorman81,0,2,2
jeffbroussely,0,1,1
jeremiahod,0,1,1
jho,0,1,1
jimmiybyte,0,1,1
jimmythecoach23,0,1,1
john10767_john,0,1,1
johnweb3adeo,1,3,4
jos817345718674,0,1,1
julieflamont,0,1,1
jun_bong_1,1,5,6
just_me_gil,0,1,1
justinSime36480,0,1,1
justintrumpSOL,0,1,1
ka_tty_9,0,1,1
kalispunk,0,1,1
kamionari🍀 commission open,0,3,3
kamtraders,0,1,1
karno_smm,0,1,1
kccypto,0,1,1
kdgt,0,1,1
keilahpjohana,0,1,1
kenny_pippin1,0,1,1
kevBaxton,0,1,1
kevinjacobse,0,1,1
kezmaticks,0,8,8
kirybusiness,0,1,1
kittyspinAI,1,1,2
kleo 🖐️,0,1,1
kleskenov,0,1,1
ks_thegreat_,0,4,4
kwantxbt,1,2,3
laeryzyrus3337,0,1,1
leikimiki,0,1,1
leomanfrini,0,1,1
leshka_eth,0,1,1
lfgpepe,0,1,1
lil rob 🇵🇸,0,2,2
lisboa_misael,0,1,1
lord jaja,0,1,1
lowfloating,1,1,2
ma_ma_toshi,0,1,1
mahon_web3,0,1,1
mamunmoral33,0,5,5
mansor4220,0,1,1
marestalea,0,1,1
mariushav,0,1,1
mark53356,0,1,1
martypartymusic,0,1,1
mary49375975391,0,1,1
mary_trish34397,0,1,1
masterylit,0,2,2
mathiasberneri,0,1,1
md_tanvir65695,0,1,1
mdmilon10329,0,1,1
me_IQR,0,1,1
melfoy_work,0,1,1
memeocracycoin,0,1,1
memfluencer,0,1,1
metadripwhales,1,4,5
metamante,0,1,1
metamogo,0,1,1
michaelloPoland,0,1,1
minitrumpsolana,0,3,3
mohd aazam,0,1,1
mondal_nay15457,1,6,7
moneyfoundeur,0,1,1
moochXBT,0,1,1
mozaiqbot,0,1,1
mrbobseller,0,1,1
mrpatrickschmitt,0,1,1
mrtaeight,0,1,1
mrxcryptotech,0,1,1
mshorty54,0,1,1
muhzainblog,0,1,1
munizchris,0,1,1
musaabd11058497,0,1,1
mustapha34679,0,1,1
n149111519,0,1,1
nabi_efendiev_,0,1,1
nadinejb12,0,2,2
nadirou,0,1,1
nakiBTC,1,6,7
narosshead,0,3,3
nobody,0,1,1
nomkhosi4,0,1,1
notEgoyard,0,1,1
nur islam❤️UXLINK🚀,0,1,1
nxusnetwork,0,1,1
officialrandyl,0,1,1
oftrumppardon,0,1,1
oleybecty,0,1,1
oliver_larsen12,1,2,3
orionishunter,0,1,1
osama_novara,0,2,2
overtone555,0,1,1
parcifap_defi,0,1,1
pat_the_dentist,0,1,1
patel56774,0,1,1
patrici72976052,0,1,1
pepemedicieth,0,1,1
pepemoonboy,0,1,1
philiphicks247,0,1,1
polivestor192,0,4,4
popecallseth,1,1,2
popeyeinthesea,0,1,1
princediab1o,0,1,1
puka_pako,0,1,1
pumphomies,0,1,1
quantiflow,0,1,1
rafale4434,0,1,1
rajeshbabu2007,0,1,1
rakhi mondal mondal,11,14,25
rakhimonda2225,0,6,6
random_videozz,1,2,3
rarazedy,0,1,1
rasgard,0,1,1
reactsimply,0,1,1
realAITrump47,0,1,1
real_jayendra,0,1,1
realfettiflow,2,2,4
revitalized1999,0,2,2
reyespeterrr24,0,1,1
rixzue,0,1,1
rizwafx6,0,1,1
robinofcrypto,0,1,1
rotslearners,0,1,1
rubidoooo,0,1,1
runduckyrun,0,1,1
runninshill,0,1,1
sachin,0,3,3
sagetoken44,0,1,1
samjudoist04,0,1,1
sanctus_crypto,0,1,1
sarah milady,0,1,1
saruhanbrothers,0,1,1
savant_game,0,1,1
sawab711,0,1,1
sbrowningmck,0,3,3
selim çekiç,0,1,1
ser_90stitan,0,1,1
sergiellobo,0,1,1
sergmi_eth,0,1,1
serious_not11,0,1,1
shani2187,0,1,1
shib_Moon88,0,1,1
shitcoinsAI,0,1,1
silky,0,2,2
simbagang0,0,1,1
smartwhales_,0,1,1
soldatthetop,0,1,1
steeler03742071,0,1,1
stillrichierich,0,1,1
stinkyPibert,0,1,1
stonksklub,1,1,2
streamsobored,0,1,1
subtardbtc,0,1,1
sujalsingh_x,0,1,1
surf laterena,0,1,1
tailinaros,0,3,3
tarun mondal,5,9,14
tarunmonda54820,1,6,7
tdkimber,0,1,1
thaigom2,0,1,1
theTradeOp,0,1,1
theeasterngen,0,1,1
thegaboeth,0,2,2
themattyverse,0,1,1
tienbm97,1,1,2
tinasheh_G,0,1,1
traderofalts,0,1,1
tradetariff,0,1,1
trietle,1,1,2
trump coin,0,1,1
trump-coin-yo,0,10,10
trump_cto,0,1,1
trumpcoin45th,0,1,1
trumpcoin804,0,1,1
trumpcoinzs,0,1,1
trumpdump_xyz,0,1,1
turki190001,0,1,1
tylerpromise3,0,1,1
umarkha01491227,0,1,1
utamadush,0,1,1
veemeta_x,0,1,1
visionbynoble,0,1,1
voice612230,0,1,1
vpon2,0,1,1
waaidmind,0,1,1
war_rengrieve,0,7,7
well,0,1,1
westerns1978,0,1,1
whalesignals_,34,36,70
whalewatchalert,3,4,7
whalewatchperps,0,2,2
williamfred107,0,14,14
willtobefree,1,1,2
woflercrypto,0,1,1
xcellancer_,0,1,1
xmediumrare,0,1,1
xxRevenger,0,1,1
yasmin8468,0,1,1
yetty6290192141,0,1,1
yoda,0,1,1
youfadedwealth,0,1,1
zimmah,0,1,1
zinner27,0,1,1
zsolt zsolt,0,1,1
СRYРТO NЕWS,0,4,4
اللّه بخش لاشاری,0,1,1
عبدالرشید,0,1,1
محمد عارف,0,1,1
ً.,0,1,1
ブルークジラが物語を語る！魅力的なニュース,0,1,1
王仙芝（源头）实卡接码,0,1,1
𝗙𝗔𝗡𝗧𝗔𝗦𝗬,0,1,1
🇺🇸,0,3,3
💰CryptoMemeWheel💵,0,1,1
📊 Experts Crypto Trading & Investment Channel,0,2,2
📊 Futures Crypto Trading Connects Channel,0,3,3
📊Futures experts Cryptocurrency Signal Channel,0,3,3
